"3850 Prologis Pkwy, Suite B",Easton,PA,18045,Regional Full Case Warehouses,
"5100 Lake Terrace, NE",Mount Vernon,IL,62864,Walgreens Distribution Center,
101 Alliance Parkway,Williamston,SC,29697,Walgreens Distribution Center,Anderson Distribution Center
1130 Commerce,Swedesboro,NJ,8085,Walgreens E-Commerce Distribution Centers,East Coast DC
125 North Commerce Way,Bethlehem,PA,18017,Walgreens Distribution Center,
13201 Wilfred Lane North,Rogers,MN,55374,Regional Full Case Warehouses,
15998 Walgreen Drive,Jupiter,FL,33478,Walgreens Distribution Center,
17500 Perris Boulevard,Moreno Valley,CA,92551,Walgreens Distribution Center,
1805 Greens Road,Houston,TX,77032,Regional Full Case Warehouses,
2020 6th St.,Jacksonville,FL,32209,Walgreens Distribution Center,"c/o Laney & Duke, Puerto Rico Consolidation DC"
2370 East Main St.,Woodland,CA,95776,Walgreens Distribution Center,
2400 N. Walgreen St.,Flagstaff,AZ,86004,Walgreens Distribution Center,
2455 Premier Row,Orlando,FL,32809,Walgreens Distribution Center,
2777 USA Parkway,McCarran,NV,89434,Walgreens E-Commerce Distribution Centers,GSI Commerce
28 Gateway Commerce Center Dr.,Edwardsville,IL,62025,Walgreens E-Commerce Distribution Centers,Walgreens Internet Fulfillment Centers
28727 Oregon Road,Perrysburg,OH,43551,Walgreens Distribution Center,
350 Raco Parkway,Pendergrass,GA,30567,Regional Full Case Warehouses,
370 West Crossroads Parkway,Bolingbrook,IL,60440,Walgreens Distribution Center,"""New Store Openings"""
4400 State Road #19,Windsor,WI,53598,Walgreens Distribution Center,
50-02 55th Avenue,Maspeth,NY,11378,Walgreens Distribution Center,DuaneReade Distribution Center
5300 Saint Charles Road,Berkeley ,IL,60163,Walgreens Distribution Center,
710 Ovilla Road,Waxahachie,TX,75167,Walgreens Distribution Center,
730 West U.S. Highway 30,Valparaiso,IN,46383,Walgreens Distribution Center,Walgreens Return Center
80 International Parkway,Windsor,CT,6095,Walgreens Distribution Center,
